,Defensive Guards,Assist Leaders,Scorers,Versatile Big Men,Solid Players,Blks and Rbnds*,Blks and Points*,,,,,,,,,,,,,,,,,,
FT%,0.805937,0.784833,0.86935,0.743889,0.8168,0.65345,0.811667,,"FT% – the percentage of free throws made, FT% = (FT / FTA) x 100",,,,,,,,,,,,,,,,
FG%,0.45625,0.463333,0.479,0.55,0.4444,0.606,0.496667,,"FG% – the percentage of shot made, FG% = (FG / FGA) x 100",,,,,,,,,,,,,,,,
3PMPG,1.675625,2.415,2.6445,0.712222,2.26,0.1055,1.428889,,3PM – the number of 3 point shots made,,,,,,,,,,,,,,,,
PPG,16.8125,24.933333,24.99,22.2,19.16,11.305,16.244444,,"Pts – the total number of points scored by field goals and free throws, Pts = 2 x 2Pt + 3 x 3Pt + FT",,,,,,,,,,,,,,,,
RPG,4.96875,7.466667,6.555,9.955556,4.336,9.43,6.933333,,"Reb – the total number of rebounds, Total Reb = Off Reb + Def Reb",,,,,,,,,,,,,,,,
APG,6.05,9.8,4.745,5.155556,5.264,1.815,1.566667,,Ast – the number of assists,,,,,,,,,,,,,,,,
SPG,1.64125,1.065,0.901,1.272222,1.0384,0.6675,0.753333,,Stl – the number of steals by a defensive player or team,,,,,,,,,,,,,,,,
BPG,0.50625,0.521667,0.6065,0.864444,0.3596,1.2565,1.744444,,Blk – the number of blocks by a defensive player or team,,,,,,,,,,,,,,,,
TOPG,2.248125,4.191667,2.841,3.028889,2.416,1.4785,1.377778,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Kawhi Leonard,LeBron James,Paul George,Ben Simmons,Khris Middleton,Steven Adams,Christian Wood,,,,,,,,,,,,,,,,,,
,Jrue Holiday,Russell Westbrook,Elijah Bryant,Domantas Sabonis,Coby White,Robert Williams III,LaMarcus Aldridge,,,,,,,,,,,,,,,,,,
,Caris LeVert,James Harden,Jaylen Brown,Giannis Antetokounmpo,Aaron Gordon,Jonas Valanciunas,John Collins,,,,,,,,,,,,,,,,1.95,3,3
,T.J. McConnell,James Harden,Damian Lillard,Kelly Olynyk,John Wall,Jakob Poeltl,Jaren Jackson Jr.,,,,,,,,,,,,,,,,1.4,3,3
,Dejounte Murray,Trae Young,Julius Randle,Bam Adebayo,Kemba Walker,Mason Plumlee,Brook Lopez,,,,,,,,,,,,,,,,1.33,3,3
,Victor Oladipo,Luka Doncic,Zach LaVine,Joel Embiid,Evan Fournier,Jusuf Nurkic,Kristaps Porzingis,,,,,,,,,,,,,,,,1.36,3,3
,Draymond Green,,Jayson Tatum,Andre Drummond,Anthony Edwards,Enes Kanter,Anthony Davis,,,,,,,,,,,,,,,,0.91,3,3
,Victor Oladipo,,Stephen Curry,Zion Williamson,Gordon Hayward,DeAndre Jordan,Myles Turner,,,,,,,,,,,,,,,,1.19,3,3
,Jimmy Butler,,Brandon Ingram,Nikola Jokic,Buddy Hield,Dwight Howard,Chris Boucher,,,,,,,,,,,,,,,,2.06,3,3
,Marcus Smart,,Kyrie Irving,,Malcolm Brogdon,Isaiah Hartenstein,,,,,,,,,,,,,,,,,1.43,3,3
,Khyri Thomas,,Devin Booker,,Pascal Siakam,Rudy Gobert,,,,,,,,,,,,,,,,,0.77,3,3
,Fred VanVleet,,Karl-Anthony Towns,,Collin Sexton,Andre Drummond,,,,,,,,,,,,,,,,,,,
,Lonzo Ball,,Tobias Harris,,Dennis Schroder,Wendell Carter Jr.,,,,,,,,,,,,,,,,,,,
,LaMelo Ball,,Bradley Beal,,D'Angelo Russell,Wendell Carter Jr.,,,,,,,,,,,,,,,,,,,
,Chris Paul,,Nikola Vucevic,,Terry Rozier,Clint Capela,,,,,,,,,,,,,,,,,,,
,De'Aaron Fox,,Nikola Vucevic,,Caris LeVert,Richaun Holmes,,,,,,,,,,,,,,,,,,,
,,,Jerami Grant,,Kevin Porter Jr.,Jarrett Allen,,,,,,,,,,,,,,,,,,,
,,,Shai Gilgeous-Alexander,,Kyle Lowry,Jarrett Allen,,,,,,,,,,,,,,,,,,,
,,,Kevin Durant,,CJ McCollum,Deandre Ayton,,,,,,,,,,,,,,,,,,,
,,,Donovan Mitchell,,DeMar DeRozan,Khem Birch,,,,,,,,,,,,,,,,,,,
,,,,,Victor Oladipo,,,,,,,,,,,,,,,,,,,,
,,,,,Mike Conley,,,,,,,,,,,,,,,,,,,,
,,,,,Darius Garland,,,,,,,,,,,,,,,,,,,,
,,,,,Ja Morant,,,,,,,,,,,,,,,,,,,,
,,,,,Jamal Murray,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
